weight,density,degree,runtime,stretch
8340.0,0.0637837837838,12,0.73,1.8313253012
7441.0,0.0645045045045,9,0.649999999998,1.93137254902
8964.0,0.0630630630631,11,0.610000000001,2.3698630137
6719.0,0.0601801801802,11,0.649999999998,1.796875
6501.0,0.0594594594595,10,0.579999999998,1.64788732394
6690.0,0.0583783783784,10,0.689999999999,2.13559322034
7433.0,0.0601801801802,8,0.730000000003,1.71641791045
7688.0,0.0612612612613,9,0.66,1.91304347826
7025.0,0.0605405405405,9,0.639999999999,1.83673469388
4969.0,0.0511711711712,8,0.600000000002,1.86764705882
