weight,density,degree,runtime,stretch
9356.0,0.112605042017,7,0.00631299999804,1.69534050179
8334.0,0.104201680672,7,0.00527399999919,2.07575757576
5598.0,0.0991596638655,7,0.00554900000134,1.98290598291
5691.0,0.0974789915966,7,0.00592299999698,1.84482758621
4613.0,0.0823529411765,6,0.00646699999925,1.83898305085
6160.0,0.0890756302521,7,0.00534999999945,2.57251908397
5938.0,0.0924369747899,8,0.00607200000013,1.8087431694
7430.0,0.100840336134,7,0.00934500000221,2.34426229508
5698.0,0.0957983193277,7,0.00651600000128,2.55405405405
4965.0,0.0823529411765,7,0.00646600000255,1.92150170648
8062.0,0.104201680672,9,0.005591000001,1.81366459627
7406.0,0.10756302521,8,0.00574899999992,2.43965517241
4176.0,0.0857142857143,7,0.00688700000319,1.7752293578
8130.0,0.105882352941,10,0.00739100000283,1.83522727273
7854.0,0.102521008403,6,0.00665899999876,1.61428571429
6879.0,0.0991596638655,7,0.00618399999803,1.64840182648
4618.0,0.0890756302521,7,0.00632899999982,1.73043478261
5897.0,0.0890756302521,6,0.00524699999733,2.35
5237.0,0.0873949579832,8,0.00554900000134,2.03896103896
5009.0,0.0806722689076,7,0.00521599999774,2.42792792793
6729.0,0.100840336134,7,0.00588500000231,2.50588235294
8162.0,0.102521008403,7,0.00602599999911,2.79230769231
9958.0,0.10756302521,8,0.00592699999834,3.47023809524
6771.0,0.0957983193277,6,0.00549500000125,2.00436681223
8269.0,0.10756302521,6,0.00616000000082,2.07142857143
4078.0,0.0890756302521,8,0.00575599999866,2.21666666667
5178.0,0.0941176470588,7,0.00585400000273,2.54666666667
8244.0,0.109243697479,6,0.00631599999906,1.98360655738
7628.0,0.109243697479,7,0.00683700000081,2.8018018018
11566.0,0.126050420168,8,0.00682099999904,1.91191709845
5751.0,0.0890756302521,6,0.00553700000091,2.07423580786
8623.0,0.115966386555,8,0.00638600000093,1.92887029289
4934.0,0.0890756302521,7,0.00588399999833,2.5306122449
3541.0,0.0840336134454,8,0.0062880000005,1.48795180723
6969.0,0.0957983193277,7,0.0110019999993,1.81502890173
5578.0,0.0941176470588,5,0.00550600000133,1.93203883495
9261.0,0.100840336134,9,0.00532100000055,1.82285714286
8211.0,0.105882352941,8,0.00604000000021,1.91981132075
7210.0,0.100840336134,9,0.00572399999874,1.91472868217
4859.0,0.0857142857143,6,0.00539199999912,2.22807017544
9852.0,0.114285714286,7,0.00585599999977,2.33333333333
10362.0,0.115966386555,8,0.00562200000059,2.50476190476
7970.0,0.102521008403,7,0.00570900000093,2.31746031746
6282.0,0.0957983193277,7,0.00569299999916,1.65714285714
6144.0,0.0974789915966,5,0.00563599999805,1.79831932773
8095.0,0.0991596638655,7,0.00715700000001,1.98104265403
9935.0,0.12268907563,9,0.00618100000065,1.59788359788
7620.0,0.0957983193277,8,0.00624199999947,1.49484536082
5036.0,0.0957983193277,9,0.00625999999829,2.13043478261
7252.0,0.0957983193277,8,0.00490300000092,2.30452674897
7823.0,0.0974789915966,7,0.00718100000086,1.67493796526
5755.0,0.0957983193277,7,0.00587299999825,1.72142857143
7033.0,0.100840336134,6,0.00742600000012,1.38586956522
7893.0,0.105882352941,7,0.00603499999852,1.88068181818
5139.0,0.0924369747899,7,0.00550899999871,1.81379310345
7384.0,0.0991596638655,6,0.00612199999887,2.07786885246
5041.0,0.0890756302521,7,0.00574699999925,2.56756756757
6280.0,0.0873949579832,6,0.00590499999817,2.9453125
4641.0,0.0957983193277,6,0.0057229999984,2.224
6047.0,0.0991596638655,7,0.00613499999963,1.76744186047
4081.0,0.0840336134454,6,0.00555200000235,1.8021978022
9542.0,0.109243697479,8,0.00549700000192,2.19178082192
7663.0,0.0974789915966,8,0.00565099999949,2.29946524064
5142.0,0.0924369747899,6,0.00583900000129,1.93076923077
6077.0,0.0991596638655,7,0.00632799999948,1.79577464789
5135.0,0.0873949579832,7,0.00516700000298,2.81132075472
7470.0,0.109243697479,8,0.00609299999996,2.50684931507
6977.0,0.100840336134,7,0.00594600000113,1.98780487805
6739.0,0.0991596638655,7,0.00705600000219,2.37209302326
7050.0,0.0924369747899,5,0.0136899999998,2.952
4925.0,0.0924369747899,6,0.00606899999912,1.67213114754
6334.0,0.0974789915966,8,0.00582100000247,2.03289473684
6285.0,0.100840336134,7,0.00720200000069,2.28421052632
6930.0,0.100840336134,7,0.00517499999842,2.39053254438
4441.0,0.0857142857143,8,0.00512199999866,1.80116959064
9191.0,0.104201680672,9,0.00570399999924,2.16091954023
4374.0,0.0823529411765,7,0.00541800000065,2.60740740741
6177.0,0.0941176470588,8,0.00586500000281,2.06818181818
10775.0,0.117647058824,9,0.005799999999,2.36224489796
5414.0,0.100840336134,6,0.00708699999814,2.41573033708
5458.0,0.090756302521,6,0.0058489999974,1.87078651685
8460.0,0.109243697479,8,0.00586900000053,1.95714285714
7897.0,0.0991596638655,6,0.00508700000137,2.05780346821
4937.0,0.0840336134454,6,0.00522400000045,2.44736842105
3352.0,0.0806722689076,7,0.00675499999852,2.2037037037
6224.0,0.0957983193277,6,0.0060659999981,2.11946902655
7699.0,0.0957983193277,6,0.00609899999836,1.89316239316
5476.0,0.0890756302521,6,0.0056880000011,1.78333333333
