weight,density,degree,runtime,stretch
562.0,0.5,2,0.00011,1.42639593909
weight,density,degree,runtime,stretch
970.0,0.5,2,9.8e-05,1.40153846154
weight,density,degree,runtime,stretch
1515.0,0.5,3,0.000127,1.32309442548
weight,density,degree,runtime,stretch
1110.0,0.5,2,0.000133,1.19741100324
weight,density,degree,runtime,stretch
550.0,0.5,3,0.000121,1.0
weight,density,degree,runtime,stretch
978.0,0.5,3,0.000124,1.0
weight,density,degree,runtime,stretch
1243.0,0.5,2,9e-05,1.48684210526
weight,density,degree,runtime,stretch
712.0,0.5,2,0.00013,1.0
weight,density,degree,runtime,stretch
1019.0,0.5,2,0.000124,1.76603119584
weight,density,degree,runtime,stretch
110.0,0.5,2,0.000118,1.0
