weight,density,degree,runtime,stretch
1221.0,0.05,5,0.179693999999,4.51020408163
1447.0,0.05,5,0.170752999999,5.03797468354
1311.0,0.05,4,0.171900000001,7.94117647059
1148.0,0.05,4,0.175102000001,4.57971014493
1297.0,0.05,5,0.173887999998,4.10843373494
1589.0,0.05,5,0.169399999999,5.6
1454.0,0.05,5,0.187760000001,3.7
1157.0,0.05,5,0.178335999997,5.13461538462
1309.0,0.05,6,0.169994000003,5.4
1162.0,0.05,4,0.175427000002,5.95454545455
1827.0,0.05,5,0.174706000005,4.77272727273
1600.0,0.05,5,0.165471999993,5.75
1533.0,0.05,6,0.177588999999,4.52173913043
1486.0,0.05,5,0.170736999993,5.53846153846
1672.0,0.05,5,0.167646000002,4.09803921569
1341.0,0.05,5,0.172338000004,3.90789473684
1449.0,0.05,6,0.172646999999,3.95454545455
1438.0,0.05,5,0.172315000003,6.01587301587
1741.0,0.05,5,0.166367999998,6.48235294118
1825.0,0.05,6,0.174068999993,3.51428571429
1315.0,0.05,6,0.168151999998,7.08823529412
1381.0,0.05,5,0.165739000004,8.41818181818
2026.0,0.05,4,0.168904999999,6.28
859.0,0.05,6,0.173630999998,4.27906976744
1174.0,0.05,4,0.204389999999,5.59615384615
1435.0,0.05,5,0.171598000001,4.76
1383.0,0.05,4,0.181875000002,4.75510204082
2009.0,0.05,7,0.176927,5.79365079365
1306.0,0.05,6,0.168453999999,3.24137931034
1474.0,0.05,5,0.171446,5.36206896552
1031.0,0.05,5,0.176424000005,5.51351351351
1066.0,0.05,5,0.169686000001,3.98181818182
1269.0,0.05,4,0.178048000002,3.86904761905
869.0,0.05,4,0.169383,4.52459016393
1251.0,0.05,4,0.171233000001,5.58974358974
1485.0,0.05,5,0.169799000003,4.41095890411
1447.0,0.05,4,0.175125000002,6.85964912281
1443.0,0.05,4,0.218985,5.24657534247
727.0,0.05,5,0.170515000005,2.4375
1082.0,0.05,5,0.160837000003,5.55555555556
1270.0,0.05,5,0.164612,3.41860465116
1342.0,0.05,5,0.157295999998,5.01694915254
1415.0,0.05,5,0.305246000004,3.23076923077
1550.0,0.05,5,0.194874000001,5.22222222222
1415.0,0.05,5,0.161781000003,6.2131147541
1348.0,0.05,6,0.164569,5.72549019608
1435.0,0.05,5,0.169177999996,3.30769230769
1300.0,0.05,4,0.166048999999,4.37037037037
1088.0,0.05,4,0.163115000003,7.11764705882
1367.0,0.05,4,0.161370000002,4.87323943662
1544.0,0.05,6,0.171557000001,3.64864864865
1584.0,0.05,5,0.285394999999,4.671875
1265.0,0.05,5,0.170886,5.24528301887
1538.0,0.05,4,0.174113000001,5.06493506494
1037.0,0.05,4,0.242157000001,4.60638297872
1001.0,0.05,5,0.191034000003,3.69230769231
1031.0,0.05,6,0.170699000002,6.87234042553
1008.0,0.05,6,0.176307999995,4.10256410256
1797.0,0.05,4,0.171886999997,5.5
1379.0,0.05,4,0.176985999999,3.35344827586
1355.0,0.05,4,0.173161999999,4.43689320388
