weight,density,degree,runtime,stretch
1701.0,0.25,5,0.000557,1.39761904762
weight,density,degree,runtime,stretch
1194.0,0.25,4,0.000681,1.46683046683
weight,density,degree,runtime,stretch
2364.0,0.25,3,0.000503,2.22192151556
weight,density,degree,runtime,stretch
886.0,0.25,3,0.000607,1.67901234568
weight,density,degree,runtime,stretch
1365.0,0.25,3,0.000764,1.69277108434
weight,density,degree,runtime,stretch
2512.0,0.25,4,0.000423,1.84580152672
weight,density,degree,runtime,stretch
1746.0,0.25,4,0.000434,1.10412147505
weight,density,degree,runtime,stretch
1199.0,0.25,4,0.000661,1.04628501827
weight,density,degree,runtime,stretch
3024.0,0.25,3,0.000889999999999,1.67255216693
weight,density,degree,runtime,stretch
1640.0,0.25,3,0.000723,2.07375886525
