weight,density,degree,runtime,stretch
10775.0,0.22,8,0.010112,1.0
18523.0,0.293333333333,10,0.008667,1.0
10786.0,0.216666666667,7,0.009132,1.0
12016.0,0.23,9,0.008755,1.0
15495.0,0.263333333333,10,0.0088,1.0
14759.0,0.25,11,0.009578,1.0
17706.0,0.28,11,0.008571,1.0
13032.0,0.233333333333,8,0.009006,1.0
weight,density,degree,runtime,stretch
14234.0,0.243333333333,11,0.008195,1.0
14417.0,0.246666666667,10,0.008046,1.0
12901.0,0.236666666667,10,0.008283,1.0
17722.0,0.273333333333,15,0.008373,1.0
10874.0,0.22,10,0.008112,1.0
12257.0,0.226666666667,12,0.008106,1.0
13583.0,0.243333333333,10,0.007893,1.0
12842.0,0.243333333333,11,0.008618,1.0
12676.0,0.23,9,0.007841,1.0
14082.0,0.246666666667,10,0.016189,1.0
17442.0,0.253333333333,10,0.007907,1.0
weight,density,degree,runtime,stretch
9655.0,0.21,8,0.018925,1.0
9774.0,0.203333333333,8,0.018274,1.0
11266.0,0.226666666667,9,0.009508,1.0
11152.0,0.233333333333,9,0.008673,1.0
11844.0,0.23,8,0.016425,1.0
9583.0,0.213333333333,8,0.01654,1.0
11253.0,0.226666666667,10,0.010113,1.0
9670.0,0.21,10,0.021128,1.0
10214.0,0.213333333333,9,0.01016,1.0
10464.0,0.213333333333,9,0.019429,1.0
9670.0,0.213333333333,8,0.021927,1.0
