weight,density,degree,runtime,stretch
3375.0,0.163157894737,5,0.00274300000001,3.28813559322
2268.0,0.142105263158,5,0.00251100000003,1.66129032258
3699.0,0.163157894737,7,0.00245700000005,2.80571428571
3878.0,0.184210526316,7,0.00292999999999,2.20212765957
7667.0,0.215789473684,7,0.00292000000002,1.44401544402
3245.0,0.168421052632,7,0.00293799999997,1.34196891192
2793.0,0.163157894737,7,0.00280300000003,1.58673469388
3100.0,0.173684210526,6,0.00289499999997,1.91823899371
3761.0,0.163157894737,6,0.00273599999997,1.59219858156
2510.0,0.147368421053,6,0.00257999999997,1.0
3095.0,0.157894736842,8,0.00253099999998,1.70866141732
2640.0,0.136842105263,6,0.002499,2.12222222222
4976.0,0.168421052632,7,0.00253500000002,2.04090909091
3178.0,0.152631578947,6,0.00255799999996,1.5
1874.0,0.136842105263,5,0.00222399999996,1.85833333333
3014.0,0.157894736842,6,0.00262800000002,2.13440860215
3576.0,0.157894736842,5,0.00252,1.46078431373
2414.0,0.142105263158,5,0.00268899999998,1.94610778443
2293.0,0.136842105263,5,0.00263900000004,1.40540540541
4122.0,0.189473684211,6,0.00307500000002,1.0
5280.0,0.173684210526,6,0.00259699999998,2.35526315789
5620.0,0.194736842105,7,0.002387,2.62307692308
2709.0,0.131578947368,5,0.002478,1.97510373444
5289.0,0.194736842105,6,0.002725,1.659375
4215.0,0.173684210526,6,0.00271799999996,1.55026455026
3663.0,0.168421052632,6,0.002635,2.25210084034
1423.0,0.136842105263,5,0.00266499999998,1.51587301587
4768.0,0.189473684211,6,0.00256000000002,1.95925925926
4506.0,0.189473684211,5,0.002949,1.68345323741
5123.0,0.184210526316,6,0.00249700000001,1.70338983051
2638.0,0.163157894737,7,0.00278499999996,1.38
3112.0,0.157894736842,6,0.002905,1.46456692913
5528.0,0.189473684211,6,0.00250499999999,1.93650793651
3530.0,0.189473684211,8,0.00317199999995,1.32317073171
3353.0,0.168421052632,6,0.00243999999998,1.88028169014
4366.0,0.178947368421,6,0.00256000000002,1.68783068783
5897.0,0.189473684211,7,0.00281700000005,2.70512820513
4064.0,0.178947368421,6,0.00271599999996,1.44881889764
4026.0,0.157894736842,6,0.00242600000001,1.68615384615
3587.0,0.178947368421,6,0.002838,1.48322147651
3005.0,0.142105263158,4,0.00263300000006,2.14935064935
3145.0,0.163157894737,6,0.00252499999999,1.72607260726
2267.0,0.152631578947,7,0.002971,1.46875
3176.0,0.163157894737,6,0.00277300000005,2.08843537415
4006.0,0.173684210526,6,0.00284600000009,1.15517241379
3505.0,0.168421052632,7,0.00261599999999,1.88028169014
